Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stop_Loss_Price,Profit_Target_Price,Gross_Return,Net_Return,Net_PnL_NGN,Days_Held,Exit_Reason
International Breweries,2024-03-11,2024-03-14,4.31,4.1807,4.1807,4.741,-3.0,-6.01,-6007.75,3,Stop Loss
Ikeja,2024-03-11,2024-03-25,6.65,6.4505,6.4505,7.315,-3.0,-6.01,-6007.75,14,Stop Loss
Ikeja,2024-03-12,2024-03-25,6.65,6.4505,6.4505,7.315,-3.0,-6.01,-6007.75,13,Stop Loss
International Breweries,2024-03-15,2024-03-18,4.0,4.4,3.88,4.4,10.0,6.77,6774.5,3,Profit Target
Daarcomm,2024-03-20,2024-03-21,0.64,0.6208,0.6208,0.704,-3.0,-6.01,-6007.75,1,Stop Loss
Daarcomm,2024-03-21,2024-03-22,0.58,0.638,0.5626,0.638,10.0,6.77,6774.5,1,Profit Target
Secure Electronic Tech,2024-03-22,2024-03-25,0.5,0.55,0.485,0.55,10.0,6.77,6774.5,3,Profit Target
Tantalizers,2024-03-22,2024-03-25,0.34,0.374,0.3298,0.374,10.0,6.77,6774.5,3,Profit Target
Daarcomm,2024-03-22,2024-04-15,0.61,0.671,0.5917,0.671,10.0,6.77,6774.5,24,Profit Target
Daarcomm,2024-03-25,2024-04-03,0.67,0.6499,0.6499,0.737,-3.0,-6.01,-6007.75,9,Stop Loss
Initiates,2024-03-26,2024-04-04,2.15,2.365,2.0855,2.365,10.0,6.77,6774.5,9,Profit Target
Ikeja,2024-03-26,2024-04-02,5.85,6.435,5.6745,6.435,10.0,6.77,6774.5,7,Profit Target
International Breweries,2024-04-02,2024-05-06,4.45,4.35,4.3165,4.895,-2.25,-5.27,-5267.55,34,Time Stop
Ikeja,2024-04-02,2024-04-16,7.07,6.8579,6.8579,7.777,-3.0,-6.01,-6007.75,14,Stop Loss
Abctrans,2024-04-03,2024-05-07,0.7,0.71,0.679,0.77,1.43,-1.65,-1653.36,34,Time Stop
Zenith Bank,2024-04-15,2024-04-16,39.86,38.6642,38.6642,43.846,-3.0,-6.01,-6007.75,1,Stop Loss
Guaranty Trust Holding,2024-04-15,2024-04-16,41.4,40.158,40.158,45.54,-3.0,-6.01,-6007.75,1,Stop Loss
Fcmb,2024-04-17,2024-04-22,7.2,6.984,6.984,7.92,-3.0,-6.01,-6007.75,5,Stop Loss
